0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.044541142618970041e-03,1.181942264418365381e-10,8.949217231393225790e-09
-9.698569363879302324e-03,2.466070002016426601e-10,1.916700652838216750e-08
-2.241391950438741815e-02,-8.626384759368145735e-12,8.018267090198090033e-10
-3.468072521480188020e-02,-2.766452234093178774e-10,-1.886757861834040268e-08
-4.613944369491679992e-02,-5.725140263170047752e-10,-4.310032867826693389e-08
-5.913516598890636994e-02,-7.545754036087467269e-10,-6.031141383171084171e-08
-8.080492123752293365e-02,9.804303627754523913e-09,-2.465998948481886018e-07
-1.037294736184889571e-01,1.796468143406844314e-05,2.188923412779933669e-03
-1.316584999650161902e-01,8.475101972761692182e-06,2.311497888280840060e-02
-1.595320307652119407e-01,-1.399445281584304771e-05,4.361442055915966398e-02
-1.889806518478220898e-01,-6.475120073314652317e-04,6.553572747513455865e-02
-2.186009920053644529e-01,-2.778264151994822018e-03,1.205160013876609704e-01
-2.467354305420005334e-01,-4.933280694322819682e-03,1.835033299430249010e-01
-2.760186921119241465e-01,-9.840209461298682347e-03,2.453605008565392098e-01
-3.062964427608528828e-01,-1.771319099873134087e-02,3.158850543425500423e-01
-3.362213156391212765e-01,-2.784112205046903460e-02,3.910177205727392580e-01
-3.630626019639938695e-01,-3.848451019785213700e-02,4.919211609603519886e-01
-3.898749815675134900e-01,-5.080206921842049528e-02,5.905708639893429979e-01
-4.157194796558438266e-01,-6.754790361858833969e-02,6.726987726871893614e-01
-4.398588184294563441e-01,-8.492735639613097076e-02,7.574652127865929563e-01
-4.627117591835641086e-01,-1.028748783152528684e-01,8.421370987190442969e-01
-4.841927183751902342e-01,-1.235880583189841730e-01,9.252407649191052297e-01
-5.043068610828702614e-01,-1.464278716534917202e-01,1.006144205404579717e+00
-5.229584433449476766e-01,-1.711557996712476104e-01,1.083250456014585916e+00
-5.394122177831149889e-01,-1.917161535580282627e-01,1.124364454391020507e+00
-5.556258481990157261e-01,-2.120070354195610074e-01,1.166044431138822501e+00
-5.709549979132181319e-01,-2.324629652700959948e-01,1.235943633110978546e+00
-5.845601834734321933e-01,-2.556303281727331789e-01,1.308731480343232167e+00
-5.964268796445384435e-01,-2.806415078421024556e-01,1.380508020960073745e+00
-6.064125680165127763e-01,-3.033455365144194227e-01,1.424141196265869658e+00
-6.159613328589212955e-01,-3.234841323513137357e-01,1.446895555213111528e+00
-6.249636073036652917e-01,-3.436366832057672349e-01,1.466906364220949888e+00
-6.315411443051721641e-01,-3.664130548158631706e-01,1.570169246296521992e+00
-6.365269229212071611e-01,-3.907506125346051906e-01,1.689842335916259763e+00
-6.383699092395334063e-01,-4.163983261553014237e-01,1.768963055818954855e+00
-6.387016949761410434e-01,-4.388340404046938703e-01,1.857972976140148225e+00
-6.376365808364139465e-01,-4.600413000343825387e-01,1.950813703985738723e+00
-6.338918640454247466e-01,-4.802896885539547078e-01,2.037559866848677181e+00
-6.269883642783834476e-01,-5.007572971467748602e-01,2.117875129404060086e+00
-6.157705419609043052e-01,-5.217097021579872873e-01,2.194028225181698044e+00
-6.014429414967343845e-01,-5.432223146913569556e-01,2.274006357118263821e+00
-5.833886466419615502e-01,-5.651173315753812432e-01,2.357609447346424414e+00
-5.635083214555335340e-01,-5.858937478929107101e-01,2.415483675764771299e+00
-5.412692177683007255e-01,-6.065363239382601801e-01,2.477355330875914863e+00
-5.186952646829516844e-01,-6.255033617039850169e-01,2.528454887268913875e+00
-4.955170292549929134e-01,-6.437291291338652632e-01,2.580255329449622881e+00
-4.691163685239241321e-01,-6.604774175917691448e-01,2.637545573306685043e+00
-4.406526370147433314e-01,-6.759637838223735429e-01,2.688645418132227682e+00
-4.137786292372528374e-01,-6.899820539369642125e-01,2.707630006781927001e+00
-3.877071226491247691e-01,-7.034541852022806463e-01,2.736766910896771599e+00
-3.590082423306002468e-01,-7.154822389708271890e-01,2.794222119604226062e+00
-3.282275882211782014e-01,-7.262417544104083911e-01,2.838594398255549489e+00
-3.005845959301275405e-01,-7.360456815356366533e-01,2.840587194162202067e+00
-2.730152000346919294e-01,-7.456644470696086602e-01,2.865020351558020817e+00
-2.426095673041956113e-01,-7.539683130764220920e-01,2.912583987505859007e+00
-2.105521451718832537e-01,-7.611100671240661475e-01,2.950773058351986222e+00
-1.806097635056212181e-01,-7.673526033597690699e-01,2.967068757967331827e+00
-1.521227114556008009e-01,-7.733514488044925805e-01,2.984405032550893289e+00
